geofips,location_name,county,2013from2014,2014from2015,2015from2016,2016from2017,2017from2018,2018from2019,2019from2020,2020from2021,2021from2022,2022from2023,,,city,county,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,blank
6,California,NA,0.99,0.98,0.98,0.99,0.99,1.00,1.11,0.97,0.99,0.97,,,Apple Valley,San Bernardino County,55500,55500,55500,55500,63500,63500,63500,54500,64500,64500,66435,0
6053,Monterey County,Monterey County,1.01,0.99,0.97,0.97,0.95,1.12,1.10,0.91,0.96,0.97,Max,1.92,Apple Valley,San Bernardino County,55000,55000,55000,55000,63000,63000,63000,54000,64000,64000,65920,0
6001,Alameda County,Alameda County,0.97,0.97,0.97,0.98,1.01,1.03,1.10,0.94,0.96,0.97,Min,0.56,Apple Valley,San Bernardino County,15150,15150,15150,15150,15900,15900,16650,16650,17850,17850,18385.5,0
6003,Alpine County,Alpine County,1.00,0.91,1.00,1.00,1.00,0.97,1.04,0.99,1.00,0.97,Mean,1.00,Apple Valley,San Bernardino County,26250,26250,26250,26250,27500,27500,28500,28500,30250,30250,31157.5,0
6005,Amador County,Amador County,1.00,1.04,0.99,1.00,0.99,0.98,1.02,0.99,1.00,0.97,,,Apple Valley,San Bernardino County,37000,37000,37000,37000,38750,38750,39500,39500,42000,42000,43260,0
6007,Butte County,Butte County,1.01,0.96,0.97,0.98,0.99,0.99,1.02,1.09,0.96,0.97,,,Apple Valley,San Bernardino County,41000,41000,41000,41000,43000,43000,43000,43000,46000,46000,47380,0
6009,Calaveras County,Calaveras County,1.00,1.05,1.00,1.00,0.98,0.99,1.00,1.00,1.00,0.97,,,Atherton,San Mateo County,30500,31500,31500,31500,33100,31800,31800,24900,27500,30500,31415,0
6013,Contra Costa County,Contra Costa County,0.96,0.96,0.97,0.96,1.08,1.01,1.05,0.95,0.97,0.97,,,Colma,San Mateo County,22850,22450,22650,22650,23800,24300,24300,19050,20800,23150,23844.5,0
6011,Colusa County,Colusa County,0.99,1.04,0.96,0.97,1.00,0.99,1.00,1.00,1.01,0.97,,,Corte Madera,Marin County,159500,165500,167500,162000,170100,165450,169000,147000,159000,135000,139050,0
6015,Del Norte County,Del Norte County,1.07,0.99,1.02,1.00,0.92,1.32,0.95,0.99,0.95,0.97,,,Corte Madera,Marin County,161500,167500,169500,164500,172750,168050,170500,148500,161000,137500,141625,0
6017,El Dorado County,El Dorado County,1.00,0.96,0.98,1.00,0.97,1.00,1.14,1.08,0.94,0.97,,,Loomis,Placer County,87500,90500,92950,97000,97000,97000,98950,95500,126000,120500,124115,0
6019,Fresno County,Fresno County,0.99,0.96,0.96,0.97,0.98,0.98,1.09,0.94,0.98,0.97,,,Los Altos Hills,Santa Clara County,113000,115000,117000,122000,131500,126100,126100,91000,93000,105500,108665,0
6021,Glenn County,Glenn County,1.00,0.94,0.97,0.99,1.00,0.99,1.06,1.01,0.99,0.97,,,Los Gatos,Santa Clara County,30750,32250,32750,29500,31000,31000,31000,27250,29000,30750,31672.5,0
6023,Humboldt County,Humboldt County,1.00,0.97,1.02,0.98,0.95,1.11,1.00,1.00,1.00,0.97,,,Los Gatos,Santa Clara County,34500,36000,36500,32000,33600,33600,33600,29500,31500,33500,34505,0
6025,Imperial County,Imperial County,1.02,0.94,0.99,0.97,0.98,1.00,1.04,0.95,0.95,0.97,,,Los Gatos,Santa Clara County,68000,69000,71000,71500,75100,75400,69000,58000,58000,58000,59740,0
6027,Inyo County,Inyo County,1.00,0.99,0.96,0.98,1.00,0.97,1.07,0.97,0.99,0.97,,,Los Gatos,Santa Clara County,78500,80000,82500,80500,84550,84850,77500,65000,67500,71500,73645,0
6029,Kern County,Kern County,1.00,0.96,0.98,0.97,0.97,1.01,1.09,0.94,0.99,0.97,,,Los Gatos,Santa Clara County,93000,95000,98000,95000,99800,100150,96000,81000,84000,89000,91670,0
6031,Kings County,Kings County,0.98,0.98,0.93,0.96,0.97,0.97,1.08,0.92,1.00,0.97,,,Los Gatos,Santa Clara County,115000,117500,121000,111500,117100,117500,119500,100500,104000,110000,113300,0
6037,Los Angeles County,Los Angeles County,0.99,0.99,0.98,1.00,1.00,1.00,1.11,0.97,0.99,0.97,,,Los Gatos,Santa Clara County,81500,83000,85500,120000,126000,123750,120750,95500,99500,95000,97850,0
6033,Lake County,Lake County,0.98,0.98,1.02,1.00,0.98,0.99,1.01,1.00,1.00,0.97,,,Los Gatos,Santa Clara County,108000,110500,114000,118000,123900,121700,118500,93500,97500,94500,97335,0
6035,Lassen County,Lassen County,0.99,0.99,0.95,0.96,1.03,1.01,1.09,0.95,1.00,0.97,,,Mammoth Lakes,Mono County,620,620,620,620,620,620,620,620,620,620,638.6,0
6039,Madera County,Madera County,0.96,0.96,0.94,0.96,0.96,0.99,1.13,0.94,0.96,0.97,,,Mammoth Lakes,Mono County,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3862.5,0
6045,Mendocino County,Mendocino County,0.98,1.00,0.93,0.99,1.04,1.03,1.02,1.01,0.99,0.97,,,Mammoth Lakes,Mono County,6450,6275,6375,6625,6700,6700,6825,6425,6650,6800,7004,0
6047,Merced County,Merced County,1.00,0.97,0.99,1.00,0.99,0.97,1.00,1.00,1.00,0.97,,,Mammoth Lakes,Mono County,9200,9200,9150,9600,9750,9750,10100,9150,9600,9800,10094,0
6051,Mono County,Mono County,1.00,1.02,0.97,0.99,1.00,0.98,1.06,0.95,0.99,0.97,,,Mammoth Lakes,Mono County,9650,9450,9550,10000,9750,9750,10550,9500,9850,10000,10300,0
6049,Modoc County,Modoc County,1.11,0.99,0.99,0.89,1.02,0.97,1.07,0.97,0.92,0.97,,,Mammoth Lakes,Mono County,6950,6900,6900,7400,7450,7450,7800,7250,7450,7500,7725,0
6043,Mariposa County,Mariposa County,1.01,0.98,0.95,0.91,1.00,1.00,1.02,1.00,0.99,0.97,,,Paradise,Butte County,5800,5800,5950,5100,5100,5200,5200,5000,5100,4000,4120,0
6041,Marin County,Marin County,0.96,0.98,1.00,0.96,1.03,1.00,1.14,0.93,1.09,0.97,,,Paradise,Butte County,7700,7700,7550,7400,7400,7550,7550,7350,8100,6250,6437.5,0
6055,Napa County,Napa County,0.96,0.98,0.96,0.94,1.01,1.02,1.24,0.94,0.94,0.97,,,Paradise,Butte County,9500,9500,9500,9500,9500,9700,9700,9500,9700,7600,7828,0
6057,Nevada County,Nevada County,0.99,1.00,0.95,1.00,1.00,0.98,1.00,1.04,0.96,0.97,,,Tiburon,Marin County,18950,18950,23600,23600,24800,24800,24800,19000,19100,19700,20291,0
6059,Orange County,Orange County,1.00,1.02,1.00,1.00,1.01,0.95,1.06,1.00,1.13,0.97,,,Tiburon,Marin County,13050,13050,17000,17000,17900,17900,17900,13700,13800,14250,14677.5,0
