geofips,location_name,state,geography_type,year,mode,dest,orig,vmt,dist_within,inflow,outflow
6,California,CA,state,2019,BIKING,2817391931,2817537540,2817464736,2550590941,133400495,133473299
6,California,CA,state,2019,CARPOOL,136025972073,135502226656,135764099364,79245900179,28390035947,28128163238
6,California,CA,state,2019,COMMERCIAL,31761257009,31153454688,31457355849,15109078040,8326089484,8022188324
6,California,CA,state,2019,ON_DEMAND_AUTO,2156341850,2158656926,2157499388,1328583364,413879243,415036781
6,California,CA,state,2019,OTHER_TRAVEL_MODE,76072190627,84859408022,80465799324,1593408335,37239391146,41632999843
6,California,CA,state,2019,PRIVATE_AUTO,270688058292,271627703776,271157881034,157460541310,56613758491,57083581233
6,California,CA,state,2019,PUBLIC_TRANSIT,7306749261,7307051321,7306900291,4368846358,1468951451,1469102481
6,California,CA,state,2019,WALKING,3610779478,3610960828,3610870153,3588578323,11100577,11191252
6,California,CA,state,2020,BIKING,2421392545,2420641206,2421016876,2191761446,114815549,114439880
6,California,CA,state,2020,CARPOOL,117230299564,116781983268,117006141416,68337506002,24446396781,24222238633
6,California,CA,state,2020,COMMERCIAL,27642809486,27124577502,27383693494,13075413669,7283697908,7024581917
6,California,CA,state,2020,ON_DEMAND_AUTO,1847535062,1850918511,1849226786,1139550032,353992515,355684240
6,California,CA,state,2020,OTHER_TRAVEL_MODE,65148849779,72870553337,69009701558,1390872595,31878988592,35739840371
6,California,CA,state,2020,PRIVATE_AUTO,233269502506,234092594687,233681048597,135554445564,48857528471,49269074562
6,California,CA,state,2020,PUBLIC_TRANSIT,6297322909,6297306378,6297314644,3777406381,1259958264,1259949999
6,California,CA,state,2020,WALKING,3106948729,3107126231,3107037480,3087968372,9490178,9578930
6,California,CA,state,2021,BIKING,1140581294,1140576813,1140579053,1105099731,17740781,17738541
6,California,CA,state,2021,CARPOOL,190051708751,190026404642,190039056696,103482306993,43284700879,43272048824
6,California,CA,state,2021,COMMERCIAL,27130475789,26642812781,26886644285,10862944422,8133765683,7889934179
6,California,CA,state,2021,ON_DEMAND_AUTO,2966283185,2964692939,2965488062,2021075404,472603891,471808768
6,California,CA,state,2021,OTHER_TRAVEL_MODE,66289307681,76452472224,71370889953,1063178197,32613064742,37694647014
6,California,CA,state,2021,PRIVATE_AUTO,264827076418,264767399847,264797238132,160524508307,52151284055,52121445770
6,California,CA,state,2021,PUBLIC_TRANSIT,3299727907,3299858066,3299792986,2486777048,406475429,406540509
6,California,CA,state,2021,WALKING,2687261283,2687376979,2687319131,2675630532,5815376,5873224
6,California,CA,state,2022,BIKING,2160738156,2161041656,2160889906,1925032068,117853044,118004794
6,California,CA,state,2022,CARPOOL,149957731256,149777759956,149867745606,86535401373,31711164942,31621179291
6,California,CA,state,2022,COMMERCIAL,20441060438,20045885250,20243472844,8491725466,5974667486,5777079892
6,California,CA,state,2022,ON_DEMAND_AUTO,2067390338,2069205889,2068298113,1367649843,349870247,350778023
6,California,CA,state,2022,OTHER_TRAVEL_MODE,67143460808,75967436039,71555448424,1482113036,32830673886,37242661502
6,California,CA,state,2022,PRIVATE_AUTO,275311116971,275613107735,275462112353,166195956703,54557580134,54708575516
6,California,CA,state,2022,PUBLIC_TRANSIT,4459538913,4459613212,4459575231,3088493158,685522877,685560027
6,California,CA,state,2022,WALKING,4287546750,4287711635,4287629193,4261393308,13076721,13159164
6,California,CA,state,2023,BIKING,2073687769,2073862234,2073775001,1817083028,128302370,128389603
6,California,CA,state,2023,CARPOOL,149527944486,149181634944,149354789715,79106906172,35210519157,35037364386
6,California,CA,state,2023,COMMERCIAL,21387747600,21217453705,21302600653,9412858006,5987444797,5902297850
6,California,CA,state,2023,ON_DEMAND_AUTO,1711634285,1711389363,1711511824,1142972467,284330909,284208448
6,California,CA,state,2023,OTHER_TRAVEL_MODE,53852333339,79149782266,66501057803,1218171292,26317081024,38965805487
6,California,CA,state,2023,PRIVATE_AUTO,303173740654,303836764062,303505252358,179495998268,61838871193,62170382897
6,California,CA,state,2023,PUBLIC_TRANSIT,4488228467,4488239163,4488233815,3302008209,593110129,593115477
6,California,CA,state,2023,WALKING,3370537782,3370751709,3370644745,3347866084,11335849,11442812
6001,Alameda County,CA,county,2019,BIKING,196321554,199193216,197757385,164837171,15742192,17178022
6001,Alameda County,CA,county,2019,CARPOOL,5338975676,5377511209,5358243442,2193925308,1572525184,1591792950
6001,Alameda County,CA,county,2019,COMMERCIAL,1223479242,1057082300,1140280771,418312560,402583341,319384870
6001,Alameda County,CA,county,2019,ON_DEMAND_AUTO,116110077,116572331,116341204,39411943,38349067,38580194
6001,Alameda County,CA,county,2019,OTHER_TRAVEL_MODE,4398696220,4602556980,4500626600,27522315,2185586953,2287517332
6001,Alameda County,CA,county,2019,PRIVATE_AUTO,9881502210,9822658327,9852080268,4185486572,2848007819,2818585878
6001,Alameda County,CA,county,2019,PUBLIC_TRANSIT,797931671,778771948,788351809,307375019,245278326,235698464
6001,Alameda County,CA,county,2019,WALKING,204030681,203990510,204010596,202664930,682876,662790
6001,Alameda County,CA,county,2021,BIKING,104842930,105033182,104938056,103301609,770660,865786
6001,Alameda County,CA,county,2021,CARPOOL,7534520220,7448550324,7491535272,2872135840,2331192190,2288207242
6001,Alameda County,CA,county,2021,COMMERCIAL,825454170,843385309,834419740,254582893,285435639,294401208
6001,Alameda County,CA,county,2021,ON_DEMAND_AUTO,155916552,211486068,183701310,73800999,41057776,68842534
6001,Alameda County,CA,county,2021,OTHER_TRAVEL_MODE,3250269483,3513511323,3381890403,4441803,1622913840,1754534760
6001,Alameda County,CA,county,2021,PRIVATE_AUTO,9350335410,9328043980,9339189695,4177642963,2586346223,2575200509
6001,Alameda County,CA,county,2021,PUBLIC_TRANSIT,284085685,284107160,284096423,137363113,73361286,73372024
6001,Alameda County,CA,county,2021,WALKING,144562443,144642492,144602468,144094979,233732,273757
6001,Alameda County,CA,county,2022,BIKING,156498391,160110116,158304253,126416106,15041143,16847005
6001,Alameda County,CA,county,2022,CARPOOL,6168809727,6238209963,6203509845,2621454230,1773677748,1808377866
6001,Alameda County,CA,county,2022,COMMERCIAL,559303299,549020008,554161653,162851962,198225669,193084023
6001,Alameda County,CA,county,2022,ON_DEMAND_AUTO,131222754,131148606,131185680,48772684,41225035,41187961
6001,Alameda County,CA,county,2022,OTHER_TRAVEL_MODE,3684203469,3892893224,3788548346,8836877,1837683296,1942028173
6001,Alameda County,CA,county,2022,PRIVATE_AUTO,10265390324,10146775908,10206083116,4518647380,2873371472,2814064264
6001,Alameda County,CA,county,2022,PUBLIC_TRANSIT,406920150,400231001,403575575,163245538,121837306,118492731
6001,Alameda County,CA,county,2022,WALKING,235768657,235741577,235755117,233890785,938936,925396
6001,Alameda County,CA,county,2023,BIKING,196972468,198868778,197920623,154620424,21176022,22124177
6001,Alameda County,CA,county,2023,CARPOOL,6439662457,6518213412,6478937934,2569664163,1934999147,1974274624
6001,Alameda County,CA,county,2023,COMMERCIAL,585912838,568865818,577389328,200932578,192490130,183966620
6001,Alameda County,CA,county,2023,ON_DEMAND_AUTO,135913724,118851064,127382394,47515983,44198871,35667541
6001,Alameda County,CA,county,2023,OTHER_TRAVEL_MODE,2925642147,4541214221,3733428184,7525561,1459058293,2266844330
6001,Alameda County,CA,county,2023,PRIVATE_AUTO,11258991634,11122999731,11190995682,4947107229,3155942202,3087946251
6001,Alameda County,CA,county,2023,PUBLIC_TRANSIT,361651200,373297455,367474327,148477175,106587012,112410140
6001,Alameda County,CA,county,2023,WALKING,185649882,185848848,185749365,184385668,632107,731590
6003,Alpine County,CA,county,2019,BIKING,57603,71815,64709,42617,7493,14599
6003,Alpine County,CA,county,2019,CARPOOL,6073512,6270797,6172154,935623,2568944,2667587
6003,Alpine County,CA,county,2019,COMMERCIAL,1893953,2583294,2238623,269647,812153,1156824
6003,Alpine County,CA,county,2019,ON_DEMAND_AUTO,63661,314067,188864,29636,17013,142215
6003,Alpine County,CA,county,2019,OTHER_TRAVEL_MODE,15098250,21570109,18334180,81995,7508128,10744057
6003,Alpine County,CA,county,2019,PRIVATE_AUTO,23339794,26840597,25090196,3413300,9963247,11713648
6003,Alpine County,CA,county,2019,WALKING,42037,41810,41924,41060,489,375
6003,Alpine County,CA,county,2021,BIKING,11000,11000,11000,11000,0,0
6003,Alpine County,CA,county,2021,CARPOOL,8737707,9048500,8893103,819501,3959103,4114499
6003,Alpine County,CA,county,2021,COMMERCIAL,1931889,2255407,2093648,152759,889565,1051324
6003,Alpine County,CA,county,2021,ON_DEMAND_AUTO,86368,138849,112609,27152,29608,55849
6003,Alpine County,CA,county,2021,OTHER_TRAVEL_MODE,10711291,16249038,13480164,65567,5322862,8091735
6003,Alpine County,CA,county,2021,PRIVATE_AUTO,15758465,16807471,16282968,1277760,7240352,7764856
6003,Alpine County,CA,county,2021,WALKING,61474,62880,62177,57972,1751,2454
6003,Alpine County,CA,county,2022,BIKING,25266,39936,32601,15441,4913,12248
6003,Alpine County,CA,county,2022,CARPOOL,10588132,15062140,12825136,1889902,4349115,6586119
6003,Alpine County,CA,county,2022,COMMERCIAL,1955992,2070586,2013289,297407,829292,886589
6003,Alpine County,CA,county,2022,ON_DEMAND_AUTO,97617,376140,236878,55797,20910,160171
6003,Alpine County,CA,county,2022,OTHER_TRAVEL_MODE,14197083,23434151,18815617,120754,7038165,11656698
6003,Alpine County,CA,county,2022,PRIVATE_AUTO,26053657,27080362,26567010,4682816,10685421,11198773
