geofips,geo_name,county,state,location_type,source,sector,description,var_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
6,California,NA,California,State,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,,,,,,,,,,,53098214,49726808,50693606,48848528,49324501,48158073,48293214,49712537,48540071,48143396,48541931,48623039,48770612,49080637,48766205,48999701,53496662,53292041,53079043,52978620,49761425,55431960,55786212,54707068,53793791,52834721,51921891,50957461,49950300,48955648,47920900,46935830,46049250,45213471,44438867,43645246,42956233,42336664,41803274,41359718,40992660,40699553,40463110,40273847,40125866,40057193
6001,Alameda County,Alameda County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,1895964,1920484,1937842,1951160,1961274,1971240,1992140,2028351,2071832,2122370,2150577,2008485,2034120,1956759,1962482,1913471,1903437,1961431,1913204,1892716,1921291,1938418,1954400,1986679,2063134,2009168,2178746,2174056,2156044,2148078,1968711,2140804,2092108,2048423,1988212,1941907,1896891,1851310,1805096,1762236,1719409,1684953,1652196,1624610,1597977,1571885,1550148,1533704,1519749,1508109,1499774,1494309,1488909,1486507,1485627,1487927
6003,Alpine County,Alpine County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,Amador County,Amador County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,38751,40317,41232,41836,42408,42767,43380,44199,44437,44949,45412,42752,43868,42566,42812,42066,42418,43360,42419,41891,42211,40756,40648,40182,39907,40122,42698,43199,42899,44319,41754,47690,47937,47337,46462,46109,45747,45401,44968,44543,43881,42981,42068,40964,39819,38511,37346,36304,35342,34352,33482,32577,31733,31024,30352,29727
6007,Butte County,Butte County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,258151,264515,268543,270935,273667,277206,280309,282582,284770,288342,288831,271496,276289,266426,269308,261268,262372,270173,261723,257974,258911,258982,258859,259682,267993,260229,282196,285840,286431,275954,243101,271868,274534,272619,269450,267822,265919,263338,260249,256585,253080,248976,244493,241061,237724,234375,231795,229605,227730,226275,225000,223946,223291,222986,222755,222856
6009,Calaveras County,Calaveras County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6011,Colusa County,Colusa County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,42599,43463,44147,44747,45405,46117,47121,48069,48529,49069,49362,46454,47702,46101,47084,46520,47258,48873,47284,46461,46730,46336,45958,45921,45763,45171,49726,48984,48431,48584,46115,50482,51134,50831,50046,49554,48953,48250,47440,46580,45672,44778,43913,43070,42256,41491,40789,40105,39515,38997,38526,38129,37773,37434,37134,36867
6013,Contra Costa County,Contra Costa County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,1126766,1150040,1168681,1185808,1200776,1213359,1231860,1255548,1282544,1317180,1334045,1249143,1273673,1232639,1244556,1221951,1228639,1269447,1244996,1238435,1247322,1253089,1257380,1270545,1307905,1278305,1398619,1390166,1391890,1376367,1265447,1424735,1404378,1372403,1347430,1320053,1295568,1271675,1248877,1227998,1205913,1186186,1167335,1149550,1132487,1115746,1101095,1088357,1076987,1066220,1058050,1052204,1047638,1043019,1040207,1039243
6015,Del Norte County,Del Norte County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,12644,13827,14530,14734,14856,14943,15006,15257,15325,15130,14868,13692,14039,13585,13756,13457,13509,13755,13544,13364,13377,13008,12868,12540,12049,11956,12884,12647,12700,13056,12251,14438,14316,13884,13537,13169,12845,12549,12239,11931,11614,11309,11003,10691,10392,10094,9821,9558,9294,9062,8824,8612,8414,8237,8057,7897
6017,El Dorado County,El Dorado County,California,County,EMFAC + Fleet Database,hdv,Vehicle Miles Traveled,heavy_duty_vmt,41660,43326,44679,45742,46658,47367,48292,49222,50100,51270,51830,49363,51046,49880,50465,49512,50479,52147,51611,51564,51855,51480,50756,50400,49554,50130,54216,55015,56179,56777,51811,57968,58857,57590,56885,55682,54546,53431,52296,51235,50066,48751,47427,46109,44826,43519,42272,41130,39994,38971,37932,37040,36201,35424,34669,33979
