geofips,geo_name,county,state,location_type,source,sector,description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
6,California,NA,California,State,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,40371670356,41162818536,41750709006,42124436478,42404919008,42712991296,43223212482,43840058566,44500984546,45496871322,46088263566,44890945612,47710508283,47865992415,49123603518,48966869901,49606048531,50835309794,50706863844,50554638390,51475243555,51516789896,51795554883,51833761959,52077258868,52834995905,56897965181,58371055287,59216723195,59387952127,54386540465,63460514922,64951688018,64862472154,64973901069,65025934104,65097626874,65202304830,65337720592,65519793289,65697538869,65865230382,66021353775,66176270323,66310702247,66430100165,66535309683,66626096870,66702239445,66765910023,66815976909,66852971017,66878250400,66892473309,66895243579,66889218429
6001,Alameda County,Alameda County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,1530099199,1549887790,1563895949,1574644532,1582806859,1590849805,1607716150,1636939877,1672030113,1712815858,1735579878,1686890808,1780632428,1765175568,1789001541,1764034639,1774395001,1814383943,1811206098,1809522083,1843491225,1850771582,1870120882,1886245540,1908567897,1950924782,2090115658,2137878864,2159412983,2149053460,1919488277,2205500758,2206178202,2215537477,2203743422,2206535644,2209163698,2214769674,2222025417,2234036685,2247847087,2263209023,2280037716,2298633248,2316386403,2333844861,2350730072,2367324623,2383791337,2400036019,2415707454,2431082846,2446300797,2461180990,2475648069,2489714144
6003,Alpine County,Alpine County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,Amador County,Amador County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,38905436,40477455,41395658,42002085,42576727,42937487,43552437,44375379,44613616,45128275,45592945,44405241,47428205,47635820,48729805,48786781,49621863,50698151,50084304,49460778,50246213,48574195,48622985,47939333,47878385,48676144,51047578,52905836,53259833,55625991,51760587,60864140,61781430,61648633,61165314,61407387,61667730,62055960,62482253,63002938,63310477,63470337,63511444,63331792,63139961,62952696,62706056,62474640,62273674,62052915,61844337,61459151,61101370,60851685,60606567,60388854
6007,Butte County,Butte County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,219884421,225305044,228736000,230773286,233100578,236115183,238757777,240693968,242557958,245600622,246016507,238597327,253035191,253661430,259840578,258723436,262428697,268964008,267778519,266401760,270530130,270274449,270732849,270702050,271649633,275506608,294886590,306897180,312614163,302100633,256723944,297354892,302370209,302949479,301994783,302799762,303524969,304213915,304831791,305250960,306039984,307236575,308733401,310601532,312373937,314307337,316303105,318317728,320504950,322726983,324933060,327150741,329487356,331928401,334530441,337138283
6009,Calaveras County,Calaveras County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6011,Colusa County,Colusa County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,35748026,36473446,37046907,37550501,38102868,38700446,39543200,40338183,40724057,41177671,41423521,40256145,42774331,43060089,44568690,45031714,46096941,47497692,47295280,46986945,47916644,47446988,47126497,47006646,46942467,47031574,50629903,51385731,51590108,51944854,47794656,54498193,55731772,56011431,55785651,55927690,55996173,56067192,56107775,56138211,56143284,56120457,56054510,55955590,55821161,55681659,55504111,55316417,55085604,54854791,54613833,54395702,54159817,53885885,53599272,53315195
6013,Contra Costa County,Contra Costa County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,1079081181,1101369990,1119221633,1135623726,1149958547,1162008930,1179727191,1202412830,1228266090,1261436525,1277587250,1247654882,1325226556,1325911950,1358429276,1352638515,1369014030,1403765048,1404442537,1405347282,1434448100,1441220537,1453958737,1462649121,1478323047,1509631982,1633129901,1673311253,1707083145,1696874263,1526445741,1795590933,1801159140,1794005200,1796123029,1795406741,1798186883,1804556337,1814755965,1829533538,1844945539,1861097441,1878074256,1895713833,1912663885,1929053501,1945156601,1960826780,1976254523,1991606701,2006721167,2021388543,2035859136,2049753550,2063646390,2077229101
6015,Del Norte County,Del Norte County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,13270995,14512826,15251067,15464967,15592646,15683767,15750307,16013247,16084657,15880431,15605741,14990179,15764203,15747380,16140211,16081272,16205529,16525528,16432188,16288834,16483501,16125813,16063895,15686247,15415564,15311208,16403081,16488082,16770830,17371893,16301669,19716377,19835534,19544419,19367250,19161848,19012875,18921836,18814244,18718691,18612604,18516298,18421497,18318420,18218352,18109255,18008435,17894072,17779709,17679641,17566030,17453924,17339561,17235732,17119864,17003243
6017,El Dorado County,El Dorado County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,43461900,45200555,46611309,47720231,48676366,49415523,50380922,51351075,52267613,53487700,54072607,53337418,57047557,57522415,59337210,59612240,60843069,62578258,62488927,62294903,63610566,63095506,62582636,61924618,61932103,62622776,67262114,70009772,72763173,73652919,66435013,76677230,78945523,78433800,78648999,78289061,78030460,77878664,77851753,77952670,77972853,77880766,77767234,77608710,77414445,77149957,76885891,76597015,76248851,75854012,75459173,75068540,74646790,74200231,73739796,73278941
6019,Fresno County,Fresno County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,1088638522,1120842494,1152926845,1176035597,1193871784,1215473573,1242266526,1260972201,1273756229,1295593349,1307593014,1273857387,1357392022,1370127419,1416260445,1421336868,1451622652,1499447534,1505552313,1510173224,1545567998,1547790312,1553481984,1553220361,1559980227,1584915379,1697587798,1742534932,1773052488,1817272478,1682544475,1977518450,2082657188,2084176643,2097612582,2105864574,2114567122,2123109199,2132379573,2144057036,2154821040,2165039848,2174127120,2182792636,2190787460,2198333784,2205740208,2212624069,2218841350,2224517552,2229953045,2234816597,2239151412,2243138538,2246796488,2249839294
6021,Glenn County,Glenn County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,49083807,49953813,50631623,50973222,51042058,51562599,52232559,52436123,52471338,52707693,52512443,50825790,53525513,53571116,54824700,54561731,55364798,56792083,56569345,56043171,56692281,56546594,56026426,55206847,55132894,55546497,58321752,59735842,60645668,61319837,56747767,64159129,63642244,62653674,63551570,63734468,63948216,64104671,64104671,64164168,64305198,64413174,64355881,64122300,64098060,63952623,63833629,63635306,63379690,63104241,62830995,62377056,62092792,61704960,61226781,60852171
6023,Humboldt County,Humboldt County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,121220163,123332959,124779937,125809210,126112693,126385117,127460638,128493039,128695273,129678755,129126536,124847841,131971241,132197629,135406362,134624881,135955220,138747308,137753547,136932641,139531697,139840648,139287673,138095177,137838489,139433931,152573905,155370507,156178415,154276005,144807158,164927347,160441544,160955753,159165588,158873555,158561339,158111417,157573648,156945656,156379395,155737158,155071178,154535783,153941031,153436501,152724223,152104542,151476550,150783266,150146965,149507102,148936093,148221441,147623127,147075861
6025,Imperial County,Imperial County,California,County,EMFAC + Fleet Database,heavy_duty_vmt,Vehicle Miles Traveled,247827182,257041942,270213232,285808777,297384884,304452993,311194390,315253424,316844608,321273270,323723031,315241658,335141589,339067659,351791187,355447862,367483908,384438612,389029847,392366180,403030684,402254538,405593959,402651511,403324003,409012330,448572551,479351706,476048662,456720090,440067990,523197902,556666763,554287581,564341244,567043970,569734185,571927022,574219960,576591103,578699480,580748422,582756698,584524106,586157004,587564674,589072445,590480115,591778300,593020178,594262056,595259938,596285973,597343290,598065894,598910496
